Día;dia/semana;Línea de servicio;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00
01/01/2019;martes;LINEA 1;12;826;1134;987;884;975;1259;1348;1678;1861;1891;2085;2230;2636;2884;2603;2024;1257;271
01/01/2019;martes;LINEA 2;;37;85;69;67;83;67;79;121;126;187;192;190;263;267;224;117;95;12
02/01/2019;miércoles;LINEA 1;1716;4498;6629;6284;4145;3784;3746;3854;3787;3760;4628;4709;5750;7517;6661;4307;2975;2709;1890
02/01/2019;miércoles;LINEA 2;38;229;410;472;456;571;525;665;642;581;717;838;1023;1318;1324;919;570;384;163
03/01/2019;jueves;LINEA 1;1860;4869;7587;7088;4483;4486;4126;4136;4210;4007;4916;5061;6093;8023;7034;4481;3244;2905;1739
03/01/2019;jueves;LINEA 2;49;311;479;536;505;618;701;650;687;657;786;862;1137;1345;1447;849;590;369;135
04/01/2019;viernes;LINEA 1;1845;4989;7723;7281;4857;4583;4269;4217;4209;4261;5002;5280;6056;7992;7081;4805;3466;3075;1900
04/01/2019;viernes;LINEA 2;43;305;523;546;556;599;648;727;722;649;819;962;1067;1389;1429;954;578;470;209
05/01/2019;sábado;LINEA 1;1550;3852;4898;5221;4016;3815;3704;4048;4800;4893;5116;4696;4528;4106;4377;3842;2973;2866;1983
05/01/2019;sábado;LINEA 2;47;255;343;371;331;475;476;547;743;808;708;722;718;743;708;634;434;420;172
06/01/2019;domingo;LINEA 1;436;1672;1950;2197;2184;2406;2884;2610;2621;2864;3099;3044;3037;3423;3479;2788;2717;2282;387
06/01/2019;domingo;LINEA 2;2;118;125;156;128;227;310;218;313;315;300;343;321;362;361;325;262;177;20
07/01/2019;lunes;LINEA 1;426;1695;1833;1774;1718;1798;2241;2245;2518;2671;2922;2741;3041;3251;3384;2838;2787;2261;436
07/01/2019;lunes;LINEA 2;;136;140;129;113;170;190;184;229;216;272;228;284;390;383;339;262;167;35
08/01/2019;martes;LINEA 1;2216;6203;8966;8277;5283;4940;4435;4351;4469;4713;5167;5452;6840;9453;7614;4738;3037;2498;1465
08/01/2019;martes;LINEA 2;76;349;544;592;548;608;663;803;704;723;860;1323;1260;1728;1434;1045;682;335;140
09/01/2019;miércoles;LINEA 1;2153;6220;9005;8172;5388;4810;4260;4201;4429;4672;5376;5582;6617;9982;7645;4713;3243;2675;1596
09/01/2019;miércoles;LINEA 2;66;417;625;593;532;597;654;744;794;662;860;1064;1243;1698;1440;1007;620;387;151
10/01/2019;jueves;LINEA 1;2191;6406;9335;8320;5371;4999;4441;4370;4643;4786;5556;5633;6743;9639;8117;4866;3249;2852;1581
10/01/2019;jueves;LINEA 2;63;400;640;558;530;618;732;774;772;711;905;1044;1247;1648;1510;985;610;382;174
11/01/2019;viernes;LINEA 1;2223;6450;9382;8430;5403;4882;4435;4349;4577;4691;5586;5910;7288;9576;7910;5097;3472;2925;1973
11/01/2019;viernes;LINEA 2;68;403;612;660;607;615;664;790;811;664;850;1054;1321;1577;1562;1037;576;410;195
12/01/2019;sábado;LINEA 1;1961;4856;5836;6170;4486;4129;3815;4347;5829;6166;6223;5565;5286;4860;4671;3877;3157;2906;1802
12/01/2019;sábado;LINEA 2;48;308;398;445;410;485;557;633;871;969;892;825;806;824;819;853;490;439;202
13/01/2019;domingo;LINEA 1;495;1746;2047;2264;2124;2439;2747;2657;2925;3153;3403;3233;3431;3496;3576;3072;2997;2267;393
13/01/2019;domingo;LINEA 2;1;133;117;199;148;242;337;256;337;389;363;331;311;414;437;392;335;224;41
14/01/2019;lunes;LINEA 1;2452;7219;9977;9144;5605;5105;4593;4577;3850;6028;5793;5928;7269;10230;8274;5248;3057;2600;1621
14/01/2019;lunes;LINEA 2;74;437;717;670;585;592;711;819;620;973;919;1068;1392;1675;1647;1074;610;384;160
